ID, UUID, Time (s), Siblings Left
750, fd6ea922-cdb6-5db5-9a95-86f97742d577, 21600, 36
19, 072015f0-ff7e-5912-81b8-fc33f5642685, 21600, 98
245, 4fe6f7de-0f94-5444-ba32-e3cf929822bc, 21600, 98
280, 5d158dde-9883-54d9-b6d7-7525eb76f00e, 21600, 98
335, 6c3eb239-36a3-5023-90ad-01f6fa24e4a9, 21600, 36
417, 8739407f-194c-5d23-92b9-18a4a85c3b66, 21600, 25
455, 94651338-a24e-556a-a726-7296e4c1e8de, 21600, 98
626, cee3c601-b195-55b6-96d9-090975a6ba6a, 300, 0
294, 602e5e74-48fd-542b-9d91-040e61547f89, 21600, 42
321, 67bf9c6f-9ad0-5c58-b31c-3f781cc22847, 21600, 36
326, 695690a1-d9e1-5319-87a0-832cbfc57fb9, 310, 0
480, 9e19932c-4693-5c5f-9a93-757efbbc008a, 10, 0
547, b2d64333-c5c8-5266-9bfe-937a3ff5ca92, 10, 0
645, d4ab9eb2-64b6-5475-8a3d-67541f513b87, 21600, 2
103, 1e71a581-4612-5f12-a6fd-6fd1e3f6d6ea, 10, 0
290, 5dbd5036-fa23-5550-904a-50ffa370aadc, 1680, 0
329, 69a52db2-69e3-5d63-80b7-7ceaedeb9e2a, 21600, 22
497, a29d14df-63b6-5da4-8dca-6e63f2c41f17, 230, 0
743, fa84167f-415d-5eea-8a9e-4f466b128bce, 10, 0
169, 3683ae58-ddd6-5381-a28f-adc4302d65d3, 21600, 42
559, b7808505-9a47-5597-bebc-117b59f8b6fe, 250, 0
583, bd6da486-f317-5f41-ac4f-753587148db2, 21600, 22
585, bdd8cfa9-730e-5fa1-b025-d0649a377a8f, 21600, 2
271, 58fa7035-663e-51de-841b-91e4eeba499e, 21600, 98
330, 6a37994b-23e9-5cc0-8692-31fdae15014c, 10, 0
663, da5d90d2-52e0-50b8-a49e-f111af60111d, 21600, 17
677, deff3fcb-1ed8-54aa-8d4e-61e8614edde2, 21600, 17
151, 2f53382c-41ff-54a3-a6b2-32def71a1cd5, 4620, 0
268, 56ef1769-673f-5eec-8aa3-35bedf70a14d, 21600, 3
722, f02f50f9-fc41-555a-8276-befd58a3754f, 21600, 25
230, 4aeb048a-3669-5c40-9148-b3ff78ceff6e, 21600, 25
251, 51117be8-b7c1-570a-8cf3-61e0fe9dd798, 21600, 3
579, bcad2d1c-192b-50b2-899e-11d39903c493, 21600, 2
581, bd2f0c78-9674-50d5-9c17-fc7321834504, 10, 0
609, ca68430b-3175-53c1-b1d1-3c40db5b5a93, 21600, 98
646, d4bea3fb-9053-5210-aafa-dc56d91b7787, 10, 0
662, da11760d-955e-538d-8843-a3d044e5f7eb, 120, 0
8, 02bec345-7257-53ab-8981-9b116f0ba48d, 21600, 2
174, 383cfe88-190b-5d82-8d73-ec826e2a51d5, 10, 0
223, 492324a4-a33b-518c-bf93-514174058c12, 21600, 14
351, 71005b36-4682-593b-8ede-e59d47f09899, 30, 0
352, 71401ca2-d9ee-5772-953d-d76fca43ce89, 21600, 17
461, 956a2619-585b-5b66-99bb-84c2e5c7e470, 250, 0
499, a2cfb03a-0960-546e-a47c-0f5b8c3a59cd, 21600, 2
578, bbe92ee7-ff0e-5d3d-9ab7-a00725832612, 21600, 17
635, d28363a5-a812-56fb-8830-4e085e0f6375, 10, 0
90, 1a1d468e-fc91-5a12-b118-e56b37e54ff5, 10, 0
187, 3ac778ef-1ca7-56c0-b581-294d3f74a411, 21600, 98
375, 78ab81bb-295c-515b-a78c-911e26db0e67, 21600, 98
396, 834a38a1-3b99-5599-9537-75959b844f63, 21600, 14
624, ce794e7e-9efe-533d-8ea9-f85053e9058c, 140, 0
668, dc784b39-642f-5af8-b7e7-47a1213b8587, 1010, 0
689, e3149cb1-0f6b-5aa5-9af3-5cb38c5df5b5, 21600, 98
713, ed255d63-b67c-5802-be8b-adba9d1b11bd, 21600, 98
95, 1d15919b-b738-5919-a43a-2b79df9a1a2c, 21600, 98
307, 635f7968-a3c5-5b36-9209-9cd57ed1cc50, 10, 0
308, 636a1a53-08e6-502d-8979-d5cedd4e5db7, 21600, 2
334, 6b8eee49-d729-5a15-97b2-3cd6b7b901d4, 400, 0
374, 78846669-2927-54dd-a94c-03fe9f4aa28c, 21600, 98
469, 9a44f834-0313-5308-8817-8892984a6ff4, 21600, 98
527, ac1e9bbb-6603-5c96-891d-da6658fc949a, 230, 0
577, bbaa5d96-e6e9-5706-9809-94a7601f1fa7, 21600, 36
656, d81f1681-67dc-5fe2-b720-3711e9063382, 10, 0
684, e11c37d0-f517-5b31-b1d0-153baf7ff7b4, 21600, 42
27, 0a720cd4-8b99-537f-bfad-fd0837f8516c, 21600, 98
108, 1f7666fa-85ce-5bb2-bae8-89f0af6e4998, 21600, 4
165, 343ddad2-ef08-543e-832d-d9df0a326ea4, 12190, 0
678, df38f87a-cd58-5aca-a9b5-b4d805e026fa, 10, 0
701, e7b91abd-713e-592f-a220-254ff3a025d5, 160, 0
736, f882d7ec-4a2f-50f5-9096-bc3144e39c83, 21600, 4
201, 3f3d224b-6da1-5d4d-ae6c-8c3f11873ac8, 190, 0
208, 42686636-8ddc-50c6-9ca3-1889d3d2fe00, 10, 0
284, 5d741648-fe4f-51dc-9eab-d3f18fa53fb1, 260, 0
337, 6cc5037c-22b3-5c84-878f-a5cdc641120d, 10, 0
338, 6ce5bbb3-2610-5aa2-b538-8a7ae4583fba, 21600, 3
642, d3d4e937-1d57-5a50-85b4-d67cf7b15731, 10, 0
703, e88d7d00-72de-5146-81f2-04d87715d78c, 21600, 14
731, f5dd0a3e-ab44-54ff-9f0d-5533938b0307, 21600, 4
72, 14f4a6e4-61af-5ef9-a975-7eb476efe2af, 20, 0
158, 3145e3c0-1b10-590f-9d69-89c105128a50, 10, 0
182, 3a3357c0-53ad-512d-9eab-382c382c7502, 21600, 98
239, 4de130ce-0a58-588b-8f99-32cffb13be97, 21600, 42
331, 6a8b7b5a-c298-526c-9b81-c6b4b303d33c, 10, 0
465, 971f9af9-6b2a-5a1f-b8a4-e33de96d9b91, 20, 0
584, bdd72f0a-6b80-5efa-8e0f-4ff486c47e63, 10, 0
669, dc8c3a53-bb67-50dc-9916-2c654a3ac97f, 140, 0
226, 4aaf6721-fbc5-55ad-a0d5-e3a11698b50a, 120, 0
250, 510977d9-3c1d-5f45-908a-3626e5c3b5eb, 10, 0
289, 5db0098a-b018-554d-bc19-a4af004303e4, 21600, 2
355, 720a1cc8-6bc1-5191-bbdb-9d8df3e725ab, 21600, 36
518, aa98eeb1-15f6-54e2-bd9a-628e0d83646f, 21600, 98
544, b12d804a-5163-5d76-b008-ad5d2b3badf9, 21600, 98
564, b98eb0a0-892a-5d34-9101-e84154a326e1, 21600, 98
659, d8e5d367-2083-53a0-94b8-d6f1286a76b2, 21600, 4
685, e135a0f3-5147-5a4d-a9dd-249101c53b0d, 21600, 42
383, 7b307dcb-691d-5a0b-836c-7584ff4f8d80, 200, 0
476, 9ca76e5b-f76b-5f4e-9bef-119e40024693, 21600, 42
524, ab940aff-d2d8-57c5-8b2c-b784f26aea5e, 21600, 42
625, ce8b4b0e-d903-553d-913e-c6d78fb0b0ba, 21600, 36
630, d10bd247-d86c-5cc1-b077-56cbd36526b4, 21600, 22
86, 194a62a6-0781-57a3-815f-25a3a0956d1c, 21600, 25
493, a0bd6502-97e6-5561-82ef-2347716148f3, 760, 0
702, e7c44901-f7d1-5357-9347-fa9b820e3e83, 21600, 25
48, 0ebd2b35-e829-5ce3-a9c5-f176716f2133, 10, 0
71, 14618c17-2c1c-5111-a0f7-50b68acf8315, 10, 0
200, 3f089802-c044-5c76-b228-6f2e6693973a, 6140, 0
388, 7f5f8ef8-bc86-5bb2-bdc1-5583351175ec, 21600, 98
484, 9ee672c0-c119-571c-b457-2720c7c73f8a, 200, 0
570, ba9ac967-e0b4-554f-95e3-24b1e9aada59, 21600, 98
634, d2709c2c-5c3f-5a3c-bb34-920c8905d474, 10, 0
709, eb0b8a51-0a37-5cd9-9169-9ab7080a944a, 21600, 22
106, 1f1ce0ea-e18c-553b-8393-e838254ced7c, 21600, 17
154, 2fe39f28-9d8a-5c4c-850a-889b410527c7, 10, 0
183, 3a390313-e863-56f4-aea9-46c4749d3470, 21600, 2
236, 4d4730b5-5ef2-5063-9983-14f2d512eaca, 21600, 42
324, 691931eb-db99-5c44-a3d2-141877f4ec10, 21600, 98
350, 709cb616-e306-5655-81cd-dbf0bad7223b, 130, 0
740, fa47e102-9da9-55c7-bc40-3519fdf84c03, 10, 0
751, fda6319a-ff27-5c17-be6b-9a41de9a5c2d, 21600, 2
752, fdfd61e3-80d4-5c28-8c0b-0e6e8e42b2d5, 10, 0
26, 099c8f51-e358-59c2-95d5-5a5e370fa86c, 21600, 25
